,start_lat,start_lng,end_lat,end_lng
57021,40.748209,-74.03248167,,
57055,40.7518674823282,-74.03037697076797,,
57209,40.75060414236896,-74.02402013540268,,
57295,40.712781191,-74.0364182,,
57948,40.74641264837719,-74.03797701001167,,
58189,40.737724185,-74.04169035,,
58190,40.715051174,-74.03769815,,
58193,40.74586165,-74.057219625,,
58200,40.73750031,-74.035700321,,
58231,40.711248159,-74.078908324,,
58261,40.724275589,-74.035434484,,
58282,40.72612856666667,-74.03436933333333,40.74322681432173,-73.97449783980846
58338,40.737449408,-74.052331686,,
58339,40.733810902,-74.06248486,,
58423,40.721650724879986,-74.04288411140442,,
58483,40.716331005,-74.03462708,40.71517767732029,-74.03768330812454
58498,40.71539114317,-74.04969155788422,,
58500,40.7124188237569,-74.03852552175522,,
58524,40.742660403,-74.032283425,,
58532,40.7443187,-74.0439909,40.7360676564825,-74.02912706136703
58534,40.737209678,-74.031087756,40.73367,-74.0625
58560,40.714488864,-74.042767406,,
58562,40.71941,-74.04309,40.71848892,-74.047726625
58656,40.735466242,-74.046784163,,
58658,40.718094707,-74.083254218,,
58663,40.73915272763701,-74.0330819785595,,
58669,40.73879,-74.0393,40.7272235,-74.0337589
58676,40.748766541,-74.040470123,,
58679,40.7443978330956,-74.03450086712837,40.74542,-74.03332
1696,,,40.8013066,-73.9398167
3327,,,40.68186,-73.959432
6842,,,40.665816,-73.956934
7923,,,40.75724567911726,-73.97805914282799
9949,,,40.75461,-73.99177
16484,,,40.7505853470215,-73.9946848154068
18895,,,40.73342399437081,-74.00851495563984
19842,,,40.7606597,-73.98042047
22146,,,40.8082,-73.9641
22425,,,40.7390169121,-74.0026376103
24828,,,40.75462324029105,-73.99516761302948
28898,,,40.75934501,-73.96759673
30435,,,40.740983,-74.001702
30763,,,40.75500254,-73.98014437
33450,,,40.71503,-74.01246
35567,,,40.74005708567285,-74.0052741765976
37870,,,40.71173107,-73.99193043
37952,,,40.85168,-73.94186
45400,,,40.75110165,-73.94073717
48878,,,40.71996118117138,-74.00844320654869
50118,,,40.76500525,-73.95818491
51859,,,40.73049393,-73.9957214
55356,,,40.757334,-73.974235
57999,,,40.72710258,-74.00297088
59770,,,40.7435337324616,-74.00367558002472
59811,,,40.7921,-73.9739
64639,,,40.709897,-73.94008
68620,,,40.75992262,-73.97648516
68622,,,40.710681,-73.93372
68627,,,40.7937704,-73.971888
68628,,,40.832164,-73.949702
70458,,,40.73038599,-74.00214988
83578,,,40.6786115,-73.99037292
86246,,,40.72706363348306,-73.99662137031554
87016,,,40.7047177,-74.00926027
87030,,,40.72486122254819,-73.99213135242462
88546,,,40.7734066,-73.97782542
90044,,,40.74286877312112,-73.98918628692627
90054,,,40.7529728216068,-73.98734897375107
94261,,,40.74487634,-73.99529885
25,,,40.75898481399634,-73.99379968643188
111,,,40.742684734875695,-73.98671329021454
127,,,40.75172632,-73.98753523
820,,,40.7361967,-74.00859207
3391,,,40.835775,-73.9434
7217,,,40.7075188830923,-74.00108054280281
8695,,,40.70806582380646,-74.0135595202446
10367,,,40.72323,-74.00314
11379,,,40.705945132708806,-74.01321887969969
11999,,,40.71273266,-74.0046073
12958,,,40.7596276,-73.9321455
14067,,,40.75516719072139,-74.00059908628464
15088,,,40.70469667894968,-74.00803416967392
16088,,,40.68763155,-74.0016256
16392,,,40.70140463410644,-73.98768022656441
16765,,,40.75354681867074,-73.97896572947502
17286,,,40.73223272,-73.98889957
17868,,,40.7658346,-73.9265474
17869,,,40.742753828659026,-74.00747358798981
18160,,,40.849972,-73.938423
19703,,,40.709957,-74.016538
19827,,,40.72583996792375,-74.0076532959938
20233,,,40.804213,-73.96699104
20598,,,40.72502876,-73.99069656
21020,,,40.71291224,-74.01020234
23000,,,40.73031071000895,-73.98047178983688
23432,,,40.74732,-73.91197
25004,,,40.72317958,-73.99480012
26931,,,40.75097711,-73.98765428
30106,,,40.761865,-73.977242
31387,,,40.765959181657976,-73.98313522338867
32724,,,40.84089603193041,-73.93972098827362
32814,,,40.755293,-73.967641
33983,,,40.73498,-74.00697
34400,,,40.72019576,-73.98997825
35070,,,40.73704984,-73.99009296
39016,,,40.761573,-73.972628
40098,,,40.71146364,-74.00552427
40181,,,40.68989,-73.91458
43499,,,40.70905623,-74.01043382
46486,,,40.77377781072322,-73.95197331905365
49962,,,40.73224119,-74.00026394
50452,,,40.76727216,-73.99392888
51582,,,40.71602118,-73.99974372
51626,,,40.74901271,-73.98848395
52702,,,40.73652889,-74.00618026
56718,,,40.734814,-73.992085
58932,,,40.75594159,-74.0021163
59373,,,40.70838,-74.00495
59578,,,40.75510267,-73.97498696
69104,,,40.72231,-74.0106
3856,,,40.76695317,-73.98169333
3906,,,40.752049,-73.979635
8844,,,40.722103786686034,-73.99724900722504
9116,,,40.71427487,-73.98990025
11345,,,40.70463334,-74.01361706
11667,,,40.717411,-73.999573
12108,,,40.72769,-73.990993
13699,,,40.72743423,-73.99379025
14859,,,40.763604677958625,-73.98917958140373
15059,,,40.734232,-73.986923
16139,,,40.7197920901383,-74.0052238852195
16437,,,40.706410755236135,-74.00559738278389
18111,,,40.73291553,-74.00711384
18315,,,40.6910363748993,-73.99201065301895
18760,,,40.73535398,-74.00483091
19791,,,40.74965268472847,-73.9952078461647
20773,,,40.673746,-73.985649
24748,,,40.76017739537783,-73.98486793041229
26342,,,40.72362738,-73.99949601
26617,,,40.72966729392978,-73.98067966103554
26618,,,40.76269882,-73.99301222
26919,,,40.73172428,-74.00674436
28877,,,40.75676475086503,-73.99971440439913
30754,,,40.72615604980408,-73.99510189890862
35189,,,40.753773368360385,-73.99937599897385
36175,,,40.768333,-73.992573
36261,,,40.71754834,-74.01322069
36469,,,40.76228826,-73.98336183
36633,,,40.75863,-73.97513
36751,,,40.721319,-74.010065
37338,,,40.75763227739443,-73.96930575370789
37848,,,40.745686,-74.005141
39347,,,40.77966809007312,-73.98093044757842
40731,,,40.728846,-74.008591
42502,,,40.71703,-74.00925
43115,,,40.72405549,-74.00965965
43902,,,40.72456089,-73.99565293
45047,,,40.70706456,-74.00731853
46232,,,40.749498546025194,-73.97729203113158
47182,,,40.71221958009051,-74.01047229766846
47418,,,40.72019521437465,-74.0103006362915
47460,,,40.71759894980997,-74.01587963104248
47507,,,40.70717936,-74.00887308
48131,,,40.72431,-74.00473
49141,,,40.74334935,-74.00681753
49142,,,40.741981599940225,-74.00831580162048
50124,,,40.722103786686034,-74.07145500183105
51479,,,40.76590936,-73.97634151
51759,,,40.750756,-73.978326
51912,,,40.716615000830494,-74.0424120426178
52540,,,40.71539114317,-74.04969155788422
53272,,,40.71346382669195,-74.06285852193832
53562,,,40.7124188237569,-74.03852552175522
53631,,,40.77237,-73.99005
53863,,,40.72333158646436,-74.04595255851744
54953,,,40.72572613742557,-74.07195925712585
55027,,,40.71942,-74.05099
55210,,,40.7236589,-74.0641943
55346,,,40.734961020009514,-74.0595030784607
55513,,,40.737711,-74.066921
55517,,,40.70919832245443,-74.08084273338318
55518,,,40.74590996631558,-74.0572714805603
55534,,,40.7182113,-74.0836394
55603,,,40.7253399253558,-74.06762212514877
56409,,,40.7153379,-74.01658354
56490,,,40.71113,-74.0789
56560,,,40.7127742,-74.0364857
56575,,,40.72152515,-74.046304543
56882,,,40.71458403535893,-74.04281705617905
57126,,,40.711066,-74.009447
57208,,,40.754818,-73.988154
57215,,,40.748715945380226,-74.04044330120087
57265,,,40.721630142638354,-74.04996782541275
57274,,,40.7246050998869,-74.07840594649315
57306,,,40.72568548362901,-74.04879033565521
57307,,,40.7422579775645,-74.03511106967926
57392,,,40.7141454,-74.0335519
57481,,,40.73520838045357,-74.04696375131607
57493,,,40.721650724879986,-74.04288411140442
57573,,,40.7376037,-74.0524783
57587,,,40.74265933273143,-74.03223305940628
57599,,,40.7408139,-74.0274062
57601,,,40.74998490907138,-74.02715027332306
57637,,,40.71636596185077,-74.034343957901
57652,,,40.7443187,-74.0439909
57761,,,40.71928220070702,-74.07126188278198
57765,,,40.73981372311843,-74.03690412640572
57773,,,40.7443978330956,-74.03450086712837
57785,,,40.74313282710551,-74.02698867022991
57887,,,40.73915272763701,-74.0330819785595
57900,,,40.7177325,-74.043845
57904,,,40.7211236,-74.03805095
57905,,,40.7287448,-74.0321082
57908,,,40.75060414236896,-74.02402013540268
57909,,,40.74816121065146,-74.0324530005455
57910,,,40.73100888698729,-74.06443700194359
57922,,,40.71835519823214,-74.03891444206238
57926,,,40.73698221818716,-74.02778059244156
57928,,,40.72601172964625,-74.05038893222809
57935,,,40.752960630464955,-74.02435272932053
57944,,,40.734785818,-74.050443636
57955,,,40.7518674823282,-74.03037697076797
57956,,,40.73755127245804,-74.04166370630264
57965,,,40.7242941,-74.0354826
58035,,,40.76087502,-74.00277668
58038,,,40.73879,-74.0393
58040,,,40.745983882915624,-74.02819901704788
58041,,,40.74790720968899,-74.03841152787209
58042,,,40.740802,-74.042521
58044,,,40.71941,-74.04309
58046,,,40.74641264837719,-74.03797701001167
58176,,,40.73593758446329,-74.03030455112457
58180,,,40.73721535335381,-74.02886540972803
58185,,,40.73736,-74.03097
58258,,,40.752062307,-73.9816324043
58267,,,40.742677141,-74.051788633
58277,,,40.72528910781132,-74.04557168483734
58372,,,40.74313993965626,-74.04004096984863
58387,,,40.7241765,-74.0506564
58389,,,40.751889392240685,-74.03329162748534
58390,,,40.71435836870427,-74.06661093235016
58424,,,40.7192517,-74.034234
58478,,,40.75323098,-73.97032517
58531,,,40.75409,-74.0316
58533,,,40.72755146730012,-74.07106071710587
58606,,,40.70657545063453,-74.0867006778717
58650,,,40.74994325412246,-74.03586477041245
58653,,,40.73743,-74.03571
58678,,,40.75453,-74.02658
