,start_lat,start_lng
1588,40.736136783333336,-74.02936768333333
1939,40.70362493333333,-74.0384837
2126,40.736136783333336,-74.02936768333333
4744,40.736136783333336,-74.02936768333333
8765,40.73144713333333,-74.02434595
9928,40.74491796666667,-74.02528685
11739,40.75607193333333,-74.02587686666666
19972,40.736136783333336,-74.02936768333333
20643,40.735011766666666,-74.01998035
31328,40.736136783333336,-74.02936768333333
33415,40.735011766666666,-74.01998035
33847,40.73144713333333,-74.02434595
37921,40.678334066666665,-74.05023276666667
39739,40.736136783333336,-74.02936768333333
41037,40.736136783333336,-74.02936768333333
41306,40.732289116666664,-74.04747546666667
46991,40.73248316666667,-74.02446778333334
52474,40.736136783333336,-74.02936768333333
58410,40.736136783333336,-74.02936768333333
61827,40.73144713333333,-74.02434595
63243,40.736136783333336,-74.02936768333333
70855,40.75287115,-74.02399276666667
84265,40.736136783333336,-74.02936768333333
86104,40.791188033333334,-73.99886101666667
97483,40.736136783333336,-74.02936768333333
97515,40.72864855,-74.05340576666667
65,40.79953315,-74.00455576666667
139,40.7310357,-74.06464921666667
642,40.7310357,-74.06464921666667
1067,40.723113775,-74.067353129
6727,40.7310357,-74.06464921666667
26423,40.7310357,-74.06464921666667
26612,40.7310357,-74.06464921666667
27858,40.75269876666667,-74.023692
28702,40.7310357,-74.06464921666667
28842,40.7310357,-74.06464921666667
52434,40.7571466,-74.03120851666667
58402,40.71460973333333,-74.06747018333333
85,40.72612856666667,-74.03436933333333
115,40.72612856666667,-74.03436933333333
229,40.72612856666667,-74.03436933333333
344,40.77986811666667,-74.00098978333334
346,40.72612856666667,-74.03436933333333
942,40.72612856666667,-74.03436933333333
3828,40.72612856666667,-74.03436933333333
6723,40.72612856666667,-74.03436933333333
6781,40.707376266666664,-74.05935028333333
7060,40.72612856666667,-74.03436933333333
8653,40.735283966666664,-74.02741491666667
9747,40.737762451,-74.067040205
10314,40.72612856666667,-74.03436933333333
11596,40.742513776,-74.051948309
11604,40.754281521,-74.026232839
11607,40.725298643,-74.045508146
11608,40.745392203,-74.033393264
19681,40.707376266666664,-74.05935028333333
20339,40.762106333333335,-74.05108253333333
20507,40.743179202,-74.026911855
20531,40.706731081,-74.086697221
21561,40.735283966666664,-74.02741491666667
22575,40.74313993965626,-74.04004096984863
23623,40.735283966666664,-74.02741491666667
25244,40.7154368,-74.04967986666666
26141,40.72612856666667,-74.03436933333333
26465,40.72612856666667,-74.03436933333333
27156,40.72612856666667,-74.03436933333333
27828,40.72612856666667,-74.03436933333333
34069,40.72612856666667,-74.03436933333333
39350,40.72612856666667,-74.03436933333333
39964,40.77986811666667,-74.00098978333334
40617,40.727642298,-74.07112062
40643,40.731122971,-74.057527065
40694,40.72612856666667,-74.03436933333333
40695,40.714356184,-74.066748738
40721,40.750209689,-74.035888314
41273,40.736394048,-74.029051423
41301,40.71837306,-74.047811389
41331,40.722072482,-74.071271896
41368,40.734787941,-74.050424576
41442,40.7141454,-74.0335519
42039,40.72612856666667,-74.03436933333333
43834,40.72612856666667,-74.03436933333333
43837,40.709167242,-74.08067131
43889,40.72612856666667,-74.03436933333333
45700,40.72612856666667,-74.03436933333333
46907,40.72612856666667,-74.03436933333333
49006,40.72612856666667,-74.03436933333333
52272,40.735283966666664,-74.02741491666667
52445,40.7241765,-74.0506564
52604,40.754088163,-74.031532764
53535,40.72612856666667,-74.03436933333333
53612,40.751889392240685,-74.03329162748534
53808,40.72612856666667,-74.03436933333333
54140,40.721145868,-74.03802526
54141,40.728719473,-74.03207016
54753,40.74790720968899,-74.03841152787209
54784,40.719407201,-74.034241676
54874,40.727270007,-74.033669472
55326,40.72152515,-74.046304543
55386,40.72612856666667,-74.03436933333333
55599,40.73593758446329,-74.03030455112457
55629,40.7112423,-74.0557013
55661,40.73100888698729,-74.06443700194359
55682,40.740787266666665,-74.02744363333333
55877,40.723547459,-74.064298749
55929,40.73698221818716,-74.02778059244156
55931,40.71835519823214,-74.03891444206238
55933,40.740802,-74.042521
56014,40.7177325,-74.043845
56023,40.7246050998869,-74.07840594649315
56564,40.727453947,-74.044276357
56569,40.752654791,-74.024085999
56571,40.7408139,-74.0274062
56572,40.75007391,-74.027399659
56584,40.72333158646436,-74.04595255851744
56625,40.725724101,-74.071979523
56725,40.71928220070702,-74.07126188278198
56730,40.739722252,-74.036801457
56731,40.725493431,-74.067621827
56809,40.71942,-74.05099
56810,40.721614003,-74.04996109
56812,40.716683149,-74.042208195
56905,40.71346382669195,-74.06285852193832
56939,40.737014413,-74.028901935
56959,40.735069036,-74.059548259
57005,40.72568548362901,-74.04879033565521
57015,40.7422579775645,-74.03511106967926
57020,40.72601172964625,-74.05038893222809
57021,40.748209,-74.03248167
57055,40.7518674823282,-74.03037697076797
57209,40.75060414236896,-74.02402013540268
57295,40.712781191,-74.0364182
57948,40.74641264837719,-74.03797701001167
58189,40.737724185,-74.04169035
58190,40.715051174,-74.03769815
58193,40.74586165,-74.057219625
58200,40.73750031,-74.035700321
58231,40.711248159,-74.078908324
58261,40.724275589,-74.035434484
58282,40.72612856666667,-74.03436933333333
58338,40.737449408,-74.052331686
58339,40.733810902,-74.06248486
58423,40.721650724879986,-74.04288411140442
58483,40.716331005,-74.03462708
58498,40.71539114317,-74.04969155788422
58500,40.7124188237569,-74.03852552175522
58524,40.742660403,-74.032283425
58532,40.7443187,-74.0439909
58534,40.737209678,-74.031087756
58560,40.714488864,-74.042767406
58562,40.71941,-74.04309
58656,40.735466242,-74.046784163
58658,40.718094707,-74.083254218
58663,40.73915272763701,-74.0330819785595
58669,40.73879,-74.0393
58676,40.748766541,-74.040470123
58679,40.7443978330956,-74.03450086712837
